reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d3ea0b9c-3d6d-4cb6-a45e-5d179b48dbc8,Buter Grafika 23,https://play-lh.googleusercontent.com/a-/ALV-UjUz5XGrAdnUSiTAC2VEJcZbGkpcllC8bm1bGz_nJdo0ug,"fitur dari sirekap belum sepenuhnya mutakhir perlu ditingkatkan kembali, jangan sampai gara-gara apk ini petugas kpps yang disalahkan. perlu peningkatan : hasil scan tidak bisa di edit 2x al hasil ketika ada revisi tidk bisa diubah, daftar hadir tidak ada opsi DPT, DPK dan DPTB, proses upload relatif lama seperti server belum siap menampung. mode offline banyak yang blank tidak terbaca di server padahal di aplikasi sudah sukses terkirim. Mohon di perhatikan untuk kedepan",1,220,2.48,2024-02-20 17:42:18,,,2.48
340f357e-24b7-4ee7-8dd2-1666eb2547dd,enesis jember,https://play-lh.googleusercontent.com/a-/ALV-UjVhSjVJHIUFkfJ073FGMQT-WnIEAMbFDoT4UZin-v3VPFU,"Kamera jelek tidak bisa HD kayak kamera jadul, tidak bisa mendeteksi angka, aplikasi nya susah di pakai lemot tingkat dewa. Intinya kameranya tidak patut digunakan. Mungkin bisa di revisi untuk pemilu-pemilu selanjutnya. Pencahayaan harus pakai sokle kah baru bisa terbaca, Aplikasi nya tolol",1,18,2.48,2024-02-17 21:53:11,,,2.48
1ffad6f5-7bf1-4ae9-9127-50e46f8b64bd,Jaja Jamaluddin,https://play-lh.googleusercontent.com/a-/ALV-UjWmsRVInPkpdswNr89V8oaI2Y9t5vpVE9aO3iPKtMtrxYUo,"Aplikasi menyusahkan, bukan mempermudah pekerjaan. Harusnya untuk foto bisa bentuk foto apa saja yang penting jelas terbaca dan betul hasil plano dibawahnya inputan manual hasil biar mempermudah. Bukan harus ini itu foto hasilnya.",1,3,2.48,2024-02-20 01:46:12,,,2.48
cc558764-a675-4508-94b6-e96ca948c271,Irma Yanti,https://play-lh.googleusercontent.com/a/ACg8ocIXyOkdZ-_Lama_EGMGGbOkjPtzUrPL4LlbDVKMgC9i=mo,"Benar² buruk, aplikasi dipake se Indonesia, seharusnya kalo memang masih eror seperti ini terus,mending tidak usah bikin aplikasi sirekap,katanya buat mempermudah, tapi hasilnya mempersulit. Aplikasi hampir setiap Minggu ganti versi.",1,22,2.48,2024-02-15 23:20:03,,,2.48
60b88f78-7002-4fbd-ab59-2b5512d56f01,Siti Fadilah,https://play-lh.googleusercontent.com/a-/ALV-UjU__6ISwtbbQ1-DSRXM7AlExIs9sHXLkuFwHN5jN0xU2nw,"Aplikasinya belum siap buat publish, masih banyak yg harus diperbaiki 1. Ada 2 anggota sirekap di 1 TPS, data yg sudah di upload disirekap 1 tidak muncul di sirekap 2. (Fixing) 2. Seharusnya ada akses untuk edit data / pemberitahuan jika C Salin tidak sama dengan data yg sudah diupload. 3. Scan yg tidak sesuai Auto Clear di tiap inputan. 4. Upload kehadiran DPT untuk menambahkan halamn tidak terlihat (terlalu bawah) 5. Upload Data saksi seharusnya hanya ada ditiap jenis suara (agar tidak dobel)",3,39,2.48,2024-02-19 07:35:40,,,2.48
9c5a2143-5baf-409a-8456-e3d09260a31b,Muchamad Anwar,https://play-lh.googleusercontent.com/a/ACg8ocJM8qpfK_IbycjIsbD7rq3nXWU5bgXykFfrx6GPWqzo=mo,"Dengan adanya sirekap, ekspetasi penghitungan suara akan lebih cepat dan mudah Tapi realitanya tidak sesuai ekspetasi, malah mempersulit dan memperlambat. Semoga bisa diperbaiki agar 5taun kedepan bisa digunakan dengan optimal",2,19,2.48,2024-02-17 18:47:45,,,2.48
3871f43f-45f9-4e69-a8f4-ab586447e3c4,endraj santosa,https://play-lh.googleusercontent.com/a-/ALV-UjUhV_SIAv91eHWsSAWuZwxwKa5crCObj51Ot_y4KI9y7g,"Upload foto lama, AI -nya banyak ngaconya.. Sudah selesai pengisian foto,data dan verifikasi, diklik kunci dan buat dokumen sampai 36 jam lebih ( sampai sekarang ) masih muter2 loading nya.. Sudah hubungi developer apk nya sampai sekarang nggak ada tanggapan... Ditambah aplikasinya makan memori HP sampai 1 GB lebih...",2,0,2.48,2024-02-20 10:43:41,,,2.48
6d557be0-a214-46d4-9e2d-78bf777a0721,didin,https://play-lh.googleusercontent.com/a-/ALV-UjW2vGV05WcV6KeekDclbc99n9wyfOdFfqkie5yXDD_2_Q,"Aplikasi pemerintah tp sangat buruk kwalitasnya , susah log in ,sering mental kluar jika input data , trus pembacaan Kamera tidak sesuei real nya . Udah gitu yg ppwp tidak bisa di edit jika sistem gk bisa baca , pokoknya buruk sekali",1,8,2.48,2024-02-19 05:55:11,,,2.48
2f09542b-0e95-484e-9a74-152041ee3bbd,Pitri Yani,https://play-lh.googleusercontent.com/a-/ALV-UjVwjtD1nb2mwnBfqMS6t5edQx_ikEgKWlo3Yt_GVxDlftE,"Sangat mengecewakan tidak bisa di login disemua tipe hp. Seharusnya lebih di tingkatkan lagi aplikasi supaya bisa di akses ke semua tipe hp. Lebih ditingkatkan lagi supaya bisa terbaca angkanya angka digital maupun angka biasa. Pokoknya tingkatkan lagi. Jangan sampe banyak yang akses jadi loading, macet, kirim Poto nunggu nya sampai sampe selesai di kirim. Jangan nyalahin anggota kpps yang udah bener tulisnya. Tolong perbaiki aplikasinya jangan sampai saling menyalahkan",1,2,2.48,2024-02-21 07:44:31,,,2.48
5ef74b99-fc76-4707-8e0b-7a891a042b59,Anexs Prasetyo,https://play-lh.googleusercontent.com/a/ACg8ocIOkVSrvVAxcSZsqbYZeHg9FKRaQg1hjKQ0XphW1yuK=mo,"Tolong dong aplikasinya di perbaiki, minimal kalau tidak bisa membaca angka dengan benar bisa di tulis manual Ini sudah di isi manual tetap saja tidak bisa dengan keluhan tidak sesuai, padahal angka sudah terbaca dengan jelas Dan tolong tambahkan untuk menu import foto dari galeri saja agar tidak menyusahkan",1,9,2.48,2024-02-19 00:19:36,,,2.48
